
"Id","Nombre","PrecioRebaja","PrecioNormal","Imagen","Modelo","Categoria","Subcategoria"
"110","Kit De Reparación",,"$ 46.67","ASSETS\vo20995564_-_001.png","Camiones Volvo","FM - FMX","Motor"
"111","Taza De Filtro",,"$ 246.01","ASSETS\vo20869387_-_001.png","Camiones Volvo","FM - FMX","Motor"
"112","Radiador",,"$ 2,303.49","ASSETS\vo22235310_1.jpg","Camiones Volvo","FM - FMX","Motor"
"113","Junta",,"$ 5.17","ASSETS\vo22206133_1.png","Camiones Volvo","FM - FMX","Motor"
"114","Junta",,"$ 8.71","ASSETS\vo20784537_1.png","Camiones Volvo","FM - FMX","Motor"
"115","Kit De Anillo De Inyector Bomba",,"$ 8.57","ASSETS\vo276948_1.png","Camiones Volvo","FM - FMX","Motor"
"116","Moldura",,"$ 109.36","ASSETS\vo21293367_1.jpg","Camiones Volvo","FM - FMX","Motor"
"117","Juego De Aro De Pistón",,"$ 154.96","ASSETS\vo20747511__.jpg","Camiones Volvo","FM - FMX","Motor"
"118","Filtro De Aceite",,"$ 43.67","ASSETS\vo23658092_1.jpg","Camiones Volvo","FM - FMX","Motor"
"119","Manguera De Aire",,"$ 253.45","ASSETS\vo21312236_-_001.png","Camiones Volvo","FM - FMX","Motor"
"120","Filtro De Combustible",,"$ 29.18","ASSETS\vo8193841_-_001.png","Camiones Volvo","FM - FMX","Motor"
"121","Manguera Flexible","$ 175.40","$ 233.85","ASSETS\vo21497416_-_001.png","Camiones Volvo","FM - FMX","Motor"
"122","Anillo Retén",,"$ 14.95","ASSETS\vo20551483_-_001.png","Camiones Volvo","FM - FMX","Motor"
"123","Cableado De Motor",,"$ 568.10","ASSETS\vo22248490_-_001.png","Camiones Volvo","FM - FMX","Motor"
"124","Moldura Retén",,"$ 83.04","ASSETS\vo20541940_-_001.png","Camiones Volvo","FM - FMX","Motor"
"125","Junta De Culata",,"$ 280.98","ASSETS\vo21510072_-_001.png","Camiones Volvo","FM - FMX","Motor"
"126","Junta",,"$ 10.67","ASSETS\vo21185132_-_001.jpg","Camiones Volvo","FM - FMX","Motor"
"127","Asiento De Válvula",,"$ 71.81","ASSETS\mk20561997.jpg","Camiones Volvo","FM - FMX","Motor"
"128","Junta",,"$ 39.33","ASSETS\vo20817742_-_001.png","Camiones Volvo","FM - FMX","Motor"
"129","Asiento De Válvula",,"$ 67.73","ASSETS\vo20530103_-_001.png","Camiones Volvo","FM - FMX","Motor"
"130","Juego De Camisa De Cilindro",,"$ 1,186.11","ASSETS\vo23103145_1.jpg","Camiones Volvo","FM - FMX","Motor"
"131","Cubierta",,"$ 789.15","ASSETS\vo20740683_-_001.png","Camiones Volvo","FM - FMX","Motor"
"132","Cojín De Goma",,"$ 398.79","ASSETS\vo21416526_-_001.png","Camiones Volvo","FM - FMX","Motor"
"133","Junta",,"$ 15.15","ASSETS\20855371.jpg","Camiones Volvo","FM - FMX","Motor"
"134","Juego De Juntas","$ 661.91","$ 1,103.18","ASSETS\vo21581522_1.jpg","Camiones Volvo","FM - FMX","Motor"
"135","Juego De Cojinete De Árbol De Levas",,"$ 45.25","ASSETS\vo22879257_-_001.png","Camiones Volvo","FM - FMX","Motor"
"136","Juego De Cojinete De Árbol",,"$ 45.97","ASSETS\vo_228792561.jpg","Camiones Volvo","FM - FMX","Motor"
"137","Juego De Reparación",,"$ 128.27","ASSETS\vo22482345_1.jpg","Camiones Volvo","FM - FMX","Motor"
"138","Juego De Arandela",,"$ 98.38","ASSETS\vo21948261_1.png","Camiones Volvo","FM - FMX","Motor"
"139","Juego De Camisa De Cilindro",,"$ 1,186.11","ASSETS\vo23468467_1.png","Camiones Volvo","FM - FMX","Motor"
"140","Juego De Juntas",,"$ 227.74","ASSETS\vo3093504_11.jpg","Camiones Volvo","FM - FMX","Motor"
"141","Correa De Ventilador",,"$ 90.59","ASSETS\vo20712530_1.jpg","Camiones Volvo","FM - FMX","Motor"
"142","Listón De Goma",,"$ 3.62","ASSETS\vo471708_1.png","Camiones Volvo","FM - FMX","Motor"
"143","Anillo Tórico",,"$ 30.87","ASSETS\vo992065_1.jpg","Camiones Volvo","FM - FMX","Motor"
"144","Cubo Ventilador",,"$ 509.70","ASSETS\vo21986056_-_001.png","Camiones Volvo","FM - FMX","Motor"
"145","Manguera",,"$ 169.70","ASSETS\vo21258220_-_001.png","Camiones Volvo","FM - FMX","Motor"
"146","Filtro Separador De Agua",,"$ 85.13","ASSETS\vo8159975_1.png.jpg","Camiones Volvo","FM - FMX","Motor"
"147","Kit Radiador",,"$ 2,303.49","ASSETS\radiador-vo-21649619.jpg","Camiones Volvo","FM - FMX","Motor"
"148","Tensor De Correa",,"$ 372.37","ASSETS\vo21422765_-_001.png","Camiones Volvo","FM - FMX","Motor"
"149","Sensor De Presión Y Temperatura",,"$ 294.01","ASSETS\picture4_1.jpg","Camiones Volvo","FM - FMX","Motor"
"150","Juego De Camisa De Cilindro",,"$ 830.28","ASSETS\picture1.png","Camiones Volvo","FM - FMX","Motor"
"151","Juego De Metales De Biela",,"$ 53.38","ASSETS\vo21610676_1.jpg","Camiones Volvo","FM - FMX","Motor"
"152","Cojinete De Bancada",,"$ 45.42","ASSETS\vo23624058_1.jpg","Camiones Volvo","FM - FMX","Motor"
"153","Turbocompresor","$ 1,853.45","$ 2,471.26","ASSETS\vo22479213_-_001.png","Camiones Volvo","FM - FMX","Motor"
"154","Bomba De Combustible",,"$ 435.93","ASSETS\vo21067551_-_001.png","Camiones Volvo","FM - FMX","Motor"
"155","Juego De Metal De Biela",,"$ 55.17","ASSETS\juego-de-metal-de-biela_1.png","Camiones Volvo","FM - FMX","Motor"
"156","Volante De Motor",,"$ 3,408.77","ASSETS\volante-de-motor_1.png","Camiones Volvo","FM - FMX","Motor"
"157","Válvula De Control",,"$ 435.63","ASSETS\vo21596642_-_001.png","Camiones Volvo","FM - FMX","Motor"
"158","Válvula De Admisión",,"$ 99.93","ASSETS\valvula-de-admision_2.png","Camiones Volvo","FM - FMX","Motor"
"159","Juego De Metales De Biela",,"$ 46.59","ASSETS\juego-de-metales-de-biela_1.png","Camiones Volvo","FM - FMX","Motor"
"160","Juego De Juntas","$ 659.02","$ 1,098.36","ASSETS\juego-de-juntas_1.png","Camiones Volvo","FM - FMX","Motor"
"161","Manguito De Inyector",,"$ 45.54","ASSETS\manguito-de-inyector_1.png","Camiones Volvo","FM - FMX","Motor"
"162","Sensor De Presión",,"$ 213.46","ASSETS\vo22899626_1_1.jpg","Camiones Volvo","FM - FMX","Motor"
"163","Guía De Válvula De Admisión Y Escape",,"$ 21.07","ASSETS\vo20919484_-_001.png","Camiones Volvo","FM - FMX","Motor"
"164","Juego De Aro De Pistón",,"$ 152.63","ASSETS\vo21253763_-_001.png","Camiones Volvo","FM - FMX","Motor"
"165","Tanque De Combustible",,"$ 996.95","ASSETS\vo22279968_1.png","Camiones Volvo","FM - FMX","Motor"
"166","Sensor De Presión",,"$ 270.82","ASSETS\vo20524936_1.png","Camiones Volvo","FM - FMX","Motor"
"167","Bomba De Aceite",,"$ 918.19","ASSETS\vo20824906_-_001.png","Camiones Volvo","FM - FMX","Motor"
"168","Filtro Secador De Aire","$ 108.06","$ 144.08","ASSETS\vo21620181_1.png","Camiones Volvo","FM - FMX","Motor"
"169","Anillo Retén",,"$ 23.51","ASSETS\vo21103569_1.png","Camiones Volvo","FM - FMX","Motor"
"170","Kit De Árbol De Levas",,"$ 4,287.14","ASSETS\vo23289179_1.jpg","Camiones Volvo","FM - FMX","Motor"
"171","Cuerpo De Filtro De Combustible",,"$ 573.28","ASSETS\vo21870628_1_1.png","Camiones Volvo","FM - FMX","Motor"
"172","Bomba De Agua",,"$ 606.01","ASSETS\bomba-de-agua_6.jpg","Camiones Volvo","FM - FMX","Motor"
"173","Inyector Para Motor D13","$ 1,026.31","$ 1,578.93","ASSETS\inyector-para-motor-d13_1.jpg","Camiones Volvo","FM - FMX","Motor"
"174","Filtro De Aire Primario",,"$ 337.67","ASSETS\filtro-de-aire-primario_56.jpg","Camiones Volvo","FM - FMX","Motor"
"175","Filtro De Aire",,"$ 47.97","ASSETS\filtro-de-aire_14.jpg","Camiones Volvo","FM - FMX","Motor"
